PID,ZIPCODE,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,YR_REMOD,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_KITCH,R_KITCH_STYLE,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW
1805492000,2131,Y,419600,7610,1950,0,988,1,R,RN,G,M,5,3,1,0,M,1,M,W,N,1,A,A,G,N,A
1808033000,2136,Y,331600,5880,1925,0,1680,1.5,R,CP,G,M,9,5,2,0,S,1,S,W,N,0,A,A,A,N,A
2002647010,2132,Y,558000,6022,1999, ,1680,2,R,CL,G,M,8,3,2,1,M,1,M,W,C,1,G,G,G,N,A
2009834003,2132,Y,499300,10815,1903,2015,1988,2,R,CL,G,W,7,4,1,1,M,1,M,W,N,1,A,G,A,N,A
1812268089,2136,Y,303000,6933,1955,0,1644,1,R,RR,G,M,6,2,1,1,S,1,S,F,C,0,A,A,A,N,A
1701472000,2124,N,403400,3948,2002, ,1606,2,R,SD,G,M,7,3,2,0,M,1,M,F,C,0,G,G,G,N,A
2009538000,2132,Y,511200,5750,1920,2015,1595,2,R,CL,L,U,8,3,1,2,M,1,M,W,N,1,A,G,G,N,A
1811693000,2136,Y,410200,10000,1900,2008,2007,2,R,CL,G,M,6,3,1,0,M,1,S,W,N,0,A,A,A,N,A
2011895010,2132,N,491500,4800,1929,2015,1658,1,R,BW,H,F,9,3,2,1,M,1,M,W,C,1,A,A,G,N,A
1102463000,2130,Y,624900,6279,1900,2009,2860,2,R,CL,H,W,8,6,1,1,S,1,S,W,N,1,F,A,A,N,A
1902588000,2130,Y,709600,5075,1916,0,1971,2,R,CL,L,W,10,3,2,0,M,1,S,W,N,1,G,G,G,N,G
2008326000,2132,Y,450800,6293,1925,0,1297,1,R,BW,H,W,6,3,1,0,S,1,S,W,N,0,A,A,A,N,A
