created_at,text
Tue Aug 01 15:40:05 +0000 2023,"RT @viaSimonRomero: Mexico’s cartels are taking  the “Monster” truck concept to deadly new realms, modifying pickups with gun turrets, stee…"
Tue Aug 01 15:35:07 +0000 2023,"Donald Trump’s political action committee, which began last year with $105 million, now has less than $4 million le… https://t.co/tNw5ZhL7IQ"
Tue Aug 01 15:30:12 +0000 2023,Connections is a daily game about finding common threads between words. Players must select four groups of four wor… https://t.co/mqg5aWsGFW
Tue Aug 01 15:25:01 +0000 2023,"National and state parks have reported at least seven possible heat-related deaths so far this summer, as a brutal… https://t.co/mCMmWhHMeB"
Tue Aug 01 15:20:06 +0000 2023,"Whether it’s your 10th wedding anniversary or five months since your first date, @Wirecutter's thoughtful gift idea… https://t.co/8kdZHLAOh1"
Tue Aug 01 15:05:49 +0000 2023,Breaking News: The PGA Tour will add Tiger Woods to its board after a player rebellion over the tour’s deal with Sa… https://t.co/i8FTmLf1EP
Tue Aug 01 15:00:37 +0000 2023,"If you’re convinced that red wine should be reserved for the colder months, consider the tinto de verano. It’s to s… https://t.co/7bChKKYENb"
Tue Aug 01 14:50:05 +0000 2023,How quickly can you solve today's Mini crossword? https://t.co/GweQakqocO
Tue Aug 01 14:41:00 +0000 2023,"""This game was a stumper, even for a seasoned Wordle player like me.""

Our columnist reviews Tuesday's Wordle. https://t.co/Fd96Cc3Z90"
Tue Aug 01 14:30:23 +0000 2023,"As expenses surge and attendance slows, U.S. cultural organizations are raising admission fees to offset rising cos… https://t.co/CBEIKWqXyB"
Tue Aug 01 14:20:06 +0000 2023,"President Biden is heading into the 2024 presidential contest on firmer footing than a year ago, with his approval… https://t.co/3gWnhpneW5"
Tue Aug 01 14:15:18 +0000 2023,Workers on Monday dismantled a giant “X” sign installed on Twitter’s San Francisco headquarters after residents com… https://t.co/fibPQWvNWv
Tue Aug 01 14:10:06 +0000 2023,🟨🟩 How did you do in Wordle today? 🟨🟩  https://t.co/9IEQDcJlrY
Tue Aug 01 14:05:37 +0000 2023,From @TheAthleticFC: U.S. coach Vlatko Andonovski says it is “insane” to question the mentality of the USWNT after… https://t.co/pmQs7EUS9b
Tue Aug 01 14:00:20 +0000 2023,Oregon’s experiment to stem soaring rates of addiction and overdose deaths by decriminalizing small amounts of illi… https://t.co/7yUZFld58b
Tue Aug 01 13:56:04 +0000 2023,Venice should be on the UNESCO’s World Heritage in Danger list because the city has not made enough progress in pre… https://t.co/vjDHrGuDzU
Tue Aug 01 13:49:02 +0000 2023,"RT @AnaSwanson: The global solar industry is cutting some ties to China, but its exposure to forced labor remains high and companies are be…"
Tue Aug 01 13:45:10 +0000 2023,From @TheAthleticFC: The U.S. women’s national team has moved on to the World Cup knockout round — barely. It was o… https://t.co/kUHWNObkBC
Tue Aug 01 13:40:13 +0000 2023,"Phoenix’s run of consecutive days reaching or exceeding 110 degrees ended after 31 days, dipping just below the mar… https://t.co/Rfv0HGL6Lk"
Tue Aug 01 13:29:07 +0000 2023,"Donald Trump commands a seemingly unshakable base of loyal supporters, representing more than one-third of the Repu… https://t.co/q8C6OKnZlK"
Tue Aug 01 13:25:23 +0000 2023,"RT @TheAthletic: Former #USWNT captain Carli Lloyd criticized the U.S. players' reaction to their 0-0 draw with #POR.

Asked to respond, co…"
Tue Aug 01 13:20:03 +0000 2023,"Suffering from summertime SAD? Here's a @Wirecutter tip: ""Besides physical relief from heat, I noticed that my cold… https://t.co/0K8QC8wSCr"
Tue Aug 01 13:16:16 +0000 2023,RT @declanwalsh: Latest twist in the spiralling Niger crisis - neighbouring Mali and Burkina Faso vow to defend Niger if other West African…
Tue Aug 01 13:10:08 +0000 2023,"Uber’s revenue increased 14% in its most recent quarter, the company reported, but the growth was its slowest since… https://t.co/CDUfLFX072"
Tue Aug 01 13:00:05 +0000 2023,The man charged with killing three women and burying their bodies near Gilgo Beach on Long Island is expected to ap… https://t.co/x13wKXbx9Z
Tue Aug 01 12:49:03 +0000 2023,"France will begin evacuating French and European citizens from Niger immediately, it said, citing violent attacks b… https://t.co/XqO8UV0maZ"
Tue Aug 01 12:40:07 +0000 2023,"RT @Nate_Cohn: The Biden-Trump rematch is tied, 43-43, in our first Times/Siena poll of the cycle. 
Another 10 percent volunteered they wou…"
Tue Aug 01 12:30:16 +0000 2023,"The York fire, California’s largest wildfire this year, has swept across thousands of acres in the Mojave Desert si… https://t.co/P5TiLdxKEG"
Tue Aug 01 12:20:08 +0000 2023,"Reed Jobs, the 31-year-old son of Steve Jobs and Laurene Powell Jobs, is starting a venture capital firm to invest… https://t.co/NwmHiN3noQ"
